Overall,Name,Nation,AKA
76,Hamed Traorè,Côte d'Ivoire,
76,Adrien Truffert,France,
76,Álvaro Valles,Spain,
76,Patrick van Aanholt,Netherlands,
76,Alan Varela,Argentina,
76,Nuno Tavares,Portugal,
76,Franco Vázquez,Argentina,
76,Nacho Vidal,Spain,
76,Lucas Villalba,Argentina,
76,Kevin Vogt,Germany,
76,Kai Wagner,Germany,
76,Kyle Walker-Peters,England,
76,Daniel Wass,Denmark,
76,Danny Welbeck,England,
76,Silvan Widmer,Switzerland,
76,Mats Wieffer,Netherlands,
76,Owen Wijndal,Netherlands,
76,Jonas Wind,Denmark,
76,Maximilian Wöber,Austria,
76,Ashley Young,England,
76,Nicola Zalewski,Poland,
76,Fernando Zampedri,Argentina,
76,Robin Zentner,Germany,
76,Ramiz Zerrouki,Algeria,
76,Walker Zimmerman,United States,
76,Andrija Živković,Serbia,
76,Steven Zuber,Switzerland,
76,Ane Azkona,Spain,
76,Bethany Balcer,United States,
76,Nicole Barnhart,United States,
76,Diana Bartovičová,Slovakia,
76,Jennifer Beattie,Scotland,
76,Hanna Bennison,Sweden,
76,Michelle Betos,United States,
76,Camryn Biegalski,United States,
76,Celin Bizet,Norway,
76,Celeste Boureille,United States,
76,Belle Briede,United States,
76,Linda Caicedo,Colombia,
76,Kerstin Casparij,Netherlands,
76,Sandra Castelló,Spain,
76,Miray Cin,Turkey,
76,Sabrina D'Angelo,Canada,
76,Kay-Lee de Sanders,Netherlands,
76,Celina Degen,Austria,
76,Pauleta,Spain,
76,Meggie Dougherty Howard,United States,
76,Toni Duggan,England,
76,Claire Emslie,Scotland,
76,Gemma Evans,Wales,
76,Bayley Feist,United States,
76,Grace Fisk,England,
76,Paula Flach,Germany,
76,Mary Fowler,Australia,
76,Vanessa Fürst,Germany,
76,Luna Nørgaard Gevitz,Denmark,
76,Sarah Gorden,United States,
76,Franziska Harsch,Germany,
76,Emilie Henriksen,Denmark,
76,Alexandria Loy Hess,United States,
76,Sam Hiatt,United States,
76,Julia Hickelsberger,Austria,
76,Fabienne Humm,Switzerland,
76,Léa Khelifi,France,
76,Michaela Khýrová,Czech Republic,
76,CeCe Kizer,United States,
76,Amanda Kowalski,United States,
76,Casey Krueger,United States,
76,Cloé Lacasse,Canada,
76,Tess Laplacette,France,
76,Clarisse Le Bihan,France,
76,Kethna Louis,Haiti,
76,Leonie Maier,Germany,
76,Anita Marcos,Spain,
76,Sylwia Matysik,Poland,
76,Haley McCutcheon,United States,
76,Falone Meffometou,Cameroon,
76,Jacqueline Meißner,Germany,
76,Emily Menges,United States,
76,Maelys Mpome,France,
76,Nadia Nadim,Denmark,
76,Jessica Naz,England,
76,Nadine Noordam,Netherlands,
76,Patri Ojeda,Spain,
76,Selina Ostermeier,Germany,
76,Lena Ostermeier,Germany,
76,Victoria Pelova,Netherlands,
76,Pisco,Spain,
76,Ria Percival,New Zealand,
76,María José,Spain,
76,Nerea,Spain,
76,Ramona Petzelberger,Germany,
76,Anja Pfluger,Germany,
76,Clara Pinedo,Spain,
76,Julie Rabanne,France,
76,Natalia Ramos,Spain,
76,Manon Revelli,France,
76,Katelyn Rowland,United States,
76,Camila Sáez,Chile,
76,Olatz Santana,Spain,
76,Nycole Raysla,Brazil,
76,Becky Spencer,Jamaica,
76,Jasmyne Spencer,United States,
76,Eveliina Summanen,Finland,
76,Martha Thomas,Scotland,
76,Maria Thorisdottir,Norway,
76,Anna Torrodà,Spain,
76,Aïssata Traoré,Mali,
76,Kelsey Turnbow,United States,
76,Danielle Turner,England,
76,Justine Vanhaevermaet,Belgium,
76,Ashleigh Weerden,Netherlands,
76,Jessica Wik,Sweden,
76,Rachel Williams,England,
76,Lynn Wilms,Netherlands,
76,Juliane Wirtz,Germany,
76,Pia-Sophie Wolter,Germany,
75,Zakaria Aboukhlal,Morocco,
75,Ché Adams,Scotland,
75,Luis Advíncula,Peru,
75,Emmanuel Agbadou,Côte d'Ivoire,
75,Anel Ahmedhodžić,Bosnia and Herzegovina,
75,Rayan Aït-Nouri,France,
75,Kristoffer Ajer,Norway,
75,Jean-Daniel Akpa Akpro,Côte d'Ivoire,
75,Lucas Alario,Argentina,
75,Rubén Alcaraz,Spain,
75,Dele Alli,England,
75,Juan Cruz,Spain,
75,Vinícius,Brazil,
75,Selim Amallah,Morocco,
75,Iago,Brazil,
75,Waldemar Anton,Germany,
75,Santiago Arias,Colombia,
75,Gabriel Arias,Chile,
75,Copete,Spain,
75,Santiago Ascacíbar,Argentina,
75,Gabriel Ávalos,Paraguay,
75,Johan Bakayoko,Belgium,
75,Mama Baldé,Guinea-Bissau,
75,Patrick Bamford,England,
75,Vina,Brazil,
75,Alexander Barboza,Argentina,
75,Taison,Brazil,
75,Keidi Bare,Albania,
75,Kike Barja,Spain,
75,Federico Baschirotto,Italy,
75,Gelson Martins,Portugal,
75,Younès Belhanda,Morocco,
75,Stefan Bell,Germany,
75,Jean-Ricner Bellegarde,France,
75,Nabil Bentaleb,Algeria,
75,Patrick Berg,Norway,
75,Sander Berge,Norway,
75,Jordan Beyer,Germany,
75,Jaka Bijol,Slovenia,
75,Jérémie Boga,Côte d'Ivoire,
75,Artem Bondarenko,Ukraine,
75,Miguel Borja,Colombia,
75,Gustavo Bou,Argentina,
75,Armando Broja,Albania,
75,Josh Brownhill,England,
75,Marius Bülter,Germany,
75,Georgiy Bushchan,Ukraine,
75,Bernard,Brazil,
75,José Callejón,Spain,
75,Sergio Camello,Spain,
75,Aitor,Spain,
75,Todd Cantwell,England,
75,Caro,Spain,
75,Léo Baptistão,Brazil,
75,Samu Castillejo,Spain,
75,Leonardo Castro,Colombia,
75,Ricardo Batista,Portugal,
75,Julian Chabot,Germany,
75,Fidel,Spain,
75,Rayan Cherki,France,
75,Pedro Chirivella,Spain,
75,Víctor Chust,Spain,
75,Alexis Claude-Maurice,France,
75,Saúl Coco,Equatorial Guinea,
75,Séamus Coleman,Republic of Ireland,
75,Alessio Cragno,Italy,
75,Miguel Crespo,Portugal,
75,Tomáš Čvančara,Czech Republic,
75,Evander,Brazil,
75,Andrew,Brazil,
75,Maurício,Brazil,
75,Patson Daka,Zambia,
75,Thijs Dallinga,Netherlands,
75,Pedro De la Vega,Argentina,
75,Dani de Wit,Netherlands,
75,Brecht Dejaegere,Belgium,
75,Ermedin Demirović,Bosnia and Herzegovina,
75,Diego Demme,Germany,
75,Jason Denayer,Belgium,
75,Leander Dendoncker,Belgium,
75,Emmanuel Dennis,Nigeria,
75,Cyriel Dessers,Nigeria,
75,Federico Di Francesco,Italy,
75,Bafodé Diakité,France,
75,Krépin Diatta,Senegal,
75,Damián Díaz,Ecuador,
75,Enzo Díaz,Argentina,
75,Víctor Díaz,Spain,
75,Junior Dina Ebimbe,France,
75,Ousmane Diomande,Côte d'Ivoire,
75,Matías Dituro,Argentina,
75,Matt Doherty,Republic of Ireland,
75,Josh Doig,Scotland,
75,Kasper Dolberg,Denmark,
75,Léo Duarte,Brazil,
75,Rubén Duarte,Spain,
75,Odsonne Edouard,France,
75,Maximilian Eggestein,Germany,
75,Chidera Ejuke,Nigeria,
75,Hugo Ekitike,France,
75,Aschraf El Mahdioui,Netherlands,
75,Jawad El Yamiq,Morocco,
75,Mohamed Elneny,Egypt,
75,Edu Expósito,Spain,
75,Paulo Vítor,Brazil,
75,Rasmus Falk,Denmark,
75,Facundo Farías,Argentina,
75,Jean,Brazil,
75,Nicolás Fernández,Argentina,
75,Guillermo Fernández,Argentina,
75,Álex Fernández,Spain,
75,Joaquín,Spain,
75,Alexis Flips,France,
75,Alessandro Florenzi,Italy,
75,Wes Foderingham,England,
75,Gabriel Veron,Brazil,
75,Taxiarchis Fountas,Greece,
75,Marvin Friedrich,Germany,
75,Unai García,Spain,
75,Eric García,Spain,
75,Falcao,Colombia,
75,Alejandro Garnacho,Argentina,
75,Dennis Geiger,Germany,
75,Lautaro Giannetti,Argentina,
75,Andrei Girotto,Brazil,
75,Ben Godfrey,England,
75,Connor Goldson,England,
75,Derlis González,Paraguay,
75,Anthony Gordon,England,
75,Jeffrey Gouweleeuw,Netherlands,
75,Kamil Grabara,Poland,
75,Ivo Grbić,Croatia,
75,Clément Grenier,France,
75,Hugo Guillamón,Spain,
75,Mert Günok,Turkey,
75,Emmanuel Gyasi,Ghana,
75,Viktor Gyökeres,Sweden,
75,Janik Haberer,Germany,
75,Amir Hadžiahmetović,Bosnia and Herzegovina,
75,Tarek Hamed,Egypt,
75,Gustavo Hamer,Netherlands,
75,Andreas Hanche-Olsen,Norway,
75,Guilherme Sityá,Brazil,
75,Matheus Henrique,Brazil,
75,Gastón Hernández,Argentina,
75,Luís Hernández,Spain,
75,Daniel Heuer Fernandes,Portugal,
75,Isak Hien,Sweden,
75,Philipp Hofmann,Germany,
75,Patrik Hrošovský,Slovakia,
75,Callum Hudson-Odoi,England,
75,Marcus Ingvartsen,Denmark,
75,Hiroki Ito,Japan,
75,Mauro Júnior,Brazil,
75,Iván Jaime,Spain,
75,Kristijan Jakić,Croatia,
75,Daniel James,Wales,
75,Fali,Spain,
75,Alistair Johnston,Canada,
75,Christopher Jullien,France,
75,Jutglà,Spain,
75,Ozan Kabak,Turkey,
75,Pavel Kadeřábek,Czech Republic,
75,İrfan Can Kahveci,Turkey,
75,Lukáš Kalvach,Czech Republic,
75,Jakub Kamiński,Poland,
75,Marc-Oliver Kempf,Germany,
75,Milos Kerkez,Hungary,
75,Joshua King,Norway,
75,Tim Kleindienst,Germany,
75,Ansgar Knauff,Germany,
75,Sekou Koita,Mali,
75,Ondřej Kolář,Czech Republic,
75,Cheikhou Kouyaté,Senegal,
75,Rasmus Kristensen,Denmark,
75,Grzegorz Krychowiak,Poland,
75,Lukas Kübler,Germany,
75,Marash Kumbulla,Albania,
75,Daler Kuzyaev,Russia,
75,Daniel-Kofi Kyereh,Ghana,
75,Stefan Lainer,Austria,
75,Tariq Lamptey,Ghana,
75,Gianluca Lapadula,Peru,
75,Cyle Larin,Canada,
75,Sam Larsson,Sweden,
75,Jamaal Lascelles,England,
75,Cristian Lema,Argentina,
75,Ondřej Lingr,Czech Republic,
75,Enzo Loiodice,France,
75,Ivi López,Spain,
75,Anthony Losilla,France,
75,Jordan Lotomba,Switzerland,
75,Sandi Lovrič,Slovenia,
75,Eduard Löwen,Germany,
75,Giulio Maggiore,Italy,
75,Arne Maier,Germany,
75,Víctor Ignacio Malcorra,Argentina,
75,Emanuel Mammana,Argentina,
75,Marcão,Brazil,
75,Omar Marmoush,Egypt,
75,Aarón,Spain,
75,Josef Martínez,Venezuela,
75,Omar Mascarell,Spain,
75,Jean-Philippe Mateta,France,
75,Cristian Medina,Argentina,
75,Miguel Ángel Merentiel,Uruguay,
75,Illan Meslier,France,
75,Rony Lopes,Portugal,
75,Djordje Mihailovic,United States,
75,Fabio Miretti,Italy,
75,Moleiro,Spain,
75,Joni Montiel,Spain,
75,Maxi Moralez,Argentina,
75,Harold Moukoudi,Cameroon,
75,Mykhailo Mudryk,Ukraine,
75,Arijanet Murić,Kosovo,
75,Vitaliy Mykolenko,Ukraine,
75,Keito Nakamura,Japan,
75,Nahitan Nández,Uruguay,
75,Youssouf Ndayishimiye,Burundi,
75,Badou Ndiaye,Senegal,
75,Negredo,Spain,
75,Michael Ngadeu,Cameroon,
75,Eddie Nketiah,England,
75,Kenedy,Brazil,
75,Juan Jesus,Brazil,
75,Matt O'Riley,Denmark,
75,Igoh Ogbu,Nigeria,
75,Nick Olij,Netherlands,
75,Lincoln,Brazil,
75,Robin Olsen,Sweden,
75,Gift Emmanuel Orban,Nigeria,
75,Divock Origi,Belgium,
75,Mislav Oršić,Croatia,
75,Pacheco,Spain,
75,Joseph Paintsil,Ghana,
75,Sebastián Palacios,Argentina,
75,Nicolas Pallois,France,
75,José Luis Palomino,Argentina,
75,Remko Pasveer,Netherlands,
75,Strahinja Pavlović,Serbia,
75,Amahl Pellegrino,Norway,
75,Rubén Peña,Spain,
75,Romain Perraud,France,
75,Bruno Petković,Croatia,
75,Gonzalo Piovi,Argentina,
75,Portu,Spain,
75,Dennis Praet,Belgium,
75,Sanjin Prcić,Bosnia and Herzegovina,
75,Robin Pröpper,Netherlands,
75,Riqui Puig,Spain,
75,Teemu Pukki,Finland,
75,Vako,Georgia,
75,Uroš Račić,Serbia,
75,Nemanja Radonjić,Serbia,
75,Raíllo,Spain,
75,André Ramalho,Brazil,
75,Cristian Ramírez,Ecuador,
75,Moisés Ramírez,Ecuador,
75,Sandro,Spain,
75,Nicolas Raskin,Belgium,
75,Filipe Relvas,Portugal,
75,Devyne Rensch,Netherlands,
75,Rodrigo Rey,Argentina,
75,Marco Richter,Germany,
75,Luis Rioja,Spain,
75,Connor Roberts,Wales,
75,Marc Roca,Spain,
75,Marek Rodák,Slovakia,
75,Kévin Rodrigues,Portugal,
75,Morato,Brazil,
75,Paulo Oliveira,Portugal,
75,Ricardo Rodríguez,Switzerland,
75,Sebastián Rodríguez,Uruguay,
75,Óscar,Spain,
75,Cristian Roldan,United States,
75,Benjamín Rollheiser,Argentina,
75,Pablo Rosario,Netherlands,
75,Daniele Rugani,Italy,
75,Mikkel Rygaard,Denmark,
75,Falaye Sacko,Mali,
75,Diadié Samassékou,Mali,
75,Javi Sánchez,Spain,
75,Giorgio Scalvini,Italy,
75,Bart Schenkeveld,Netherlands,
75,Jerdy Schouten,Netherlands,
75,Marcel Schuhen,Germany,
75,Benjamin Šeško,Slovenia,
75,Ryan Sessegnon,England,
75,Xherdan Shaqiri,Switzerland,
75,Ahmed Sharahili,Saudi Arabia,
75,Jonjo Shelvey,England,
75,Djibril Sidibé,France,
75,Leonardo Sigali,Argentina,
75,Alejandro Silva,Uruguay,
75,Martín Silva,Uruguay,
75,David Silva,Colombia,
75,Cesinha,Brazil,
75,Gijs Smal,Netherlands,
75,Dominic Solanke,England,
75,Pablo Solari,Argentina,
75,Asger Sørensen,Denmark,
75,Boubakary Soumaré,France,
75,Ricardo Esgaio,Portugal,
75,Walace,Brazil,
75,Anton Stach,Germany,
75,Josip Stanišić,Croatia,
75,Zack Steffen,United States,
75,Kevin Stöger,Austria,
75,Luis Javier Suárez,Colombia,
75,Denis Suárez,Spain,
75,Heorhii Sudakov,Ukraine,
75,Serhiy Sydorchuk,Ukraine,
75,Damian Szymański,Poland,
75,Marcus Tavernier,England,
75,Greg Taylor,Scotland,
75,Kenneth Taylor,Netherlands,
75,Nahuel Tenaglia,Argentina,
75,Tarik Tissoudali,Morocco,
75,Cenk Tosun,Turkey,
75,Bertrand Traoré,Burkina Faso,
75,Adama Traoré,Mali,
75,Felix Uduokhai,Germany,
75,Aurélio Buta,Portugal,
75,Deniz Undav,Germany,
75,Mark Uth,Germany,
75,Milan van Ewijk,Netherlands,
75,Maarten Vandevoordt,Belgium,
75,Kevin,Spain,
75,Alan Velasco,Argentina,
75,Alejo Veliz,Argentina,
75,Bart Verbruggen,Netherlands,
75,Domagoj Vida,Croatia,
75,Tonny Vilhena,Netherlands,
75,Rodrigo Villagra,Argentina,
75,Lázaro,Brazil,
75,Jed Wallace,England,
75,Shon Weissman,Israel,
75,Harry Wilson,Wales,
75,Chris Wood,New Zealand,
75,Andriy Yarmolenko,Ukraine,
75,Ryan Yates,England,
75,Miha Zajc,Slovenia,
75,Edon Zhegrova,Kosovo,
75,Adem Zorgane,Algeria,
75,Jill Aguilera,United States,
75,Korbin Albert,United States,
75,Nadjma Ali Nadjim,France,
75,Angelina,Brazil,
75,Jone Amezaga,Spain,
75,Eunate,Spain,
75,Rosella Ayane,Morocco,
75,Jill Baijings,Netherlands,
75,Dorian Bailey,United States,
75,Agustina Barroso,Argentina,
75,Merle Barth,Germany,
75,Fiamma Benítez,Spain,
75,Vilde Bøe Risa,Norway,
75,Chiara Bouziane,Germany,
75,Mickaëlla Cardia,France,
75,Raiderlín Carrasco,Venezuela,
75,Estelle Cascarino,France,
75,Janice Cayman,Belgium,
75,Selina Cerci,Germany,
75,Mariana Cerro,Spain,
75,Thais Ferreira,Brazil,
75,Deja Davis,United States,
75,Léa Declercq,France,
75,Kate Del Fava,United States,
75,Hélène Fercocq,France,
75,Charlotte Fernandes,France,
75,Mélissa Gomes,Portugal,
75,Airine Fontaine,France,
75,Ana Franco,Spain,
75,Léna Goetsch,France,
75,Érika González,Spain,
75,Antonia-Johanna Halverkamps,Germany,
75,Kristen Hamilton,United States,
75,Lina Hausicke,Germany,
75,Shelby Hogan,United States,
75,Ceri Netherlands,Wales,
75,Emma Holmgren,Sweden,
75,Sophie Howard,Scotland,
75,Jordyn Huitema,Canada,
75,Tori Huster,United States,
75,Emmy Jézéquel,France,
75,Celia Jiménez,Spain,
75,Johanna Kaneryd,Sweden,
75,Franziska Kett,Germany,
75,Thembi Kgatlana,South Africa,
75,Virginia Kirchberger,Austria,
75,Eva Kouache,France,
75,Emma Kullberg,Sweden,
75,Kaleigh Kurtz,United States,
75,Emilia Larsson,Sweden,
75,Hayley Lauder,Scotland,
75,Jade Le Guilly,France,
75,Margaux Le Mouël,France,
75,Justine Lerond,France,
75,Silvia Lloris,Spain,
75,Nina Lührßen,Germany,
75,Olivie Lukášová,Czech Republic,
75,Tyler Lussi,United States,
75,Ramona Maier,Germany,
75,Cecilia Marcos,Spain,
75,Cassie Miller,United States,
75,Lauren Milliet,United States,
75,Narumi Miura,Japan,
75,Paige Monaghan,United States,
75,Megan Montefusco,United States,
75,Linda Motlhalo,South Africa,
75,Meaghan Nally,United States,
75,Eva Navarro,Spain,
75,Carly Nelson,United States,
75,Andreia Norton,Portugal,
75,Rosa Otermín,Spain,
75,Jacqueline Owusu,Ghana,
75,Martina Piemonte,Italy,
75,Brianna Pinto,United States,
75,Seraina Piubel,Switzerland,
75,Madison Pogarch,United States,
75,Nuria Rábano,Spain,
75,Noelia Ramos,Spain,
75,Kerlly Real,Ecuador,
75,Megan Reid,United States,
75,Diana Gomes,Portugal,
75,Lucía Rodríguez,Spain,
75,Lourdes Romero,Germany,
75,Quinty Sabajo,Netherlands,
75,Veatriki Sarri,Greece,
75,Bibi,Spain,
75,Kayla Sharples,United States,
75,Kirsty Smith,Scotland,
75,Alice Sombath,France,
75,Nicoline Sørensen,Denmark,
75,Bianca St-Georges,Canada,
75,Judith Steinert,Germany,
75,Abbey-Leigh Stringer,England,
75,Sullastres,Spain,
75,Virginia Torrecilla,Spain,
75,Michelle Ulbrich,Germany,
75,Olivia Van der Jagt,United States,
75,Katrine Veje,Denmark,
75,Aline Reis,Brazil,
75,Luisa Wensing,Germany,
75,Aileen Whelan,England,
75,Ryan Williams,United States,
74,Brenden Aaronson,United States,
74,Liel Abada,Israel,
74,Saud Abdulhamid,Saudi Arabia,
74,Michel Aebischer,Switzerland,
74,Akapo,Equatorial Guinea,
74,Akieme,Spain,
74,Kevin Akpoguma,Nigeria,
74,Iván Alejo,Spain,
74,Aleñá,Spain,
74,Samú Costa,Portugal,
74,Cristian Álvarez,Argentina,
74,Sergio Álvarez,Spain,
74,Daniel Amartey,Ghana,
74,Zeki Amdouni,Switzerland,
74,Samu,Portugal,
74,Ethan Ampadu,Wales,
74,Tiago Gouveia,Portugal,
74,Sergio Araujo,Argentina,
74,Tolgay Arslan,Germany,
74,Takuma Asano,Japan,
74,Kristjan Asllani,Albania,
74,Giorgos Athanasiadis,Greece,
74,Jordan Ayew,Ghana,
74,Tiago Tomás,Portugal,
74,Carlos Bacca,Colombia,
74,Matthias Bader,Germany,
74,Nedim Bajrami,Albania,
74,Mitchel Bakker,Netherlands,
74,Pedrinho,Portugal,
74,Melvin Bard,France,
74,Enis Bardhi,North Macedonia,
74,Adam Bareiro,Paraguay,
74,Ross Barkley,England,
74,Barrenetxea,Spain,
74,Nahuel Barrios,Argentina,
74,Toma Bašić,Croatia,
74,Calvin Bassey,Nigeria,
74,Mourad Batna,Morocco,
74,Martin Baturina,Croatia,
74,Mohamed Bayo,Guinea,
74,Riechedly Bazoer,Netherlands,
74,Jan Bednarek,Poland,
74,Asmir Begović,Bosnia and Herzegovina,
74,Kevin Behrens,Germany,
74,Armel Bella Kotchap,Germany,
74,Darío Benedetto,Argentina,
74,Yassine Benrahou,Morocco,
74,Christian Benteke,Belgium,
74,Pietro Beruatto,Italy,
74,Jan-Niklas Beste,Germany,
74,Sam Beukema,Netherlands,
74,Saad Bguir,Tunisia,
74,Samuele Birindelli,Italy,
74,Yann Aurel Bisseck,Germany,
74,Rubén Blanco,Spain,
74,Victor Boniface,Nigeria,
74,Jovane Cabral,Cape Verde Islands,
74,Edoardo Bove,Italy,
74,André André,Portugal,
74,Darko Brašanac,Serbia,
74,Joshua Brenet,Netherlands,
74,Ben Brereton Díaz,Chile,
74,David Brooks,Wales,
74,Pavel Bucha,Czech Republic,
74,Christian Burgess,England,
74,Jonathan Burkardt,Germany,
74,Leandro Cabrera,Uruguay,
74,Carlos Cáceda,Peru,
74,Tom Cairney,Scotland,
74,Luca Caldirola,Italy,
74,Calero,Spain,
74,Nicolò Cambiaghi,Italy,
74,Andrea Cambiaso,Italy,
74,Jaminton Campaz,Colombia,
74,Nicolás Capaldo,Argentina,
74,Iza Carcelén,Spain,
74,Dani Cárdenas,Spain,
74,Tomás Cardona,Argentina,
74,Sergi Cardona,Spain,
74,Ramiro Carrera,Argentina,
74,Fábio Carvalho,Portugal,
74,Alexis Castro,Argentina,
74,Matías Catalán,Chile,
74,Federico Ceccherini,Italy,
74,Calum Chambers,England,
74,Tomás Chancalay,Argentina,
74,Diego Chará,Colombia,
74,Joris Chotard,France,
74,Anders Christiansen,Denmark,
74,Ryan Christie,Scotland,
74,Pathé Ciss,Senegal,
74,Nathaniel Clyne,England,
74,Massimo Coda,Italy,
74,Antonio Čolak,Croatia,
74,Omar Colley,Gambia,
74,Andrea Colpani,Italy,
74,Levi Colwill,England,
74,Lewis Cook,England,
74,Jake Cooper,England,
74,Liam Cooper,Scotland,
74,Lassana Coulibaly,Mali,
74,Nicolas Cozza,France,
74,Andrés Cubas,Paraguay,
74,Carlos Cuesta,Colombia,
74,Bernardo Cuesta,Argentina,
74,Christian Cueva,Peru,
74,Rafael Czichos,Germany,
74,Danny da Costa,Germany,
74,Karl Darlow,England,
74,Pablo De Blasis,Argentina,
74,Julien De Sart,Belgium,
74,Murilo,Brazil,
74,Ersin Destanoğlu,Turkey,
74,Amad Diallo,Côte d'Ivoire,
74,Bebé,Cape Verde Islands,
74,Mory Diaw,Senegal,
74,Leandro Díaz,Argentina,
74,Sinaly Diomandé,Côte d'Ivoire,
74,Andy Diouf,France,
74,Tasos Douvikas,Greece,
74,Anders Dreyer,Denmark,
74,Óscar Duarte,Costa Rica,
74,Léo Dubois,France,
74,Ondrej Duda,Slovakia,
74,Alfred Duncan,Ghana,
74,Hugo Duro,Spain,
74,Tyronne Ebuehi,Nigeria,
74,Rodrigo Echeverría,Chile,
74,John Egan,Republic of Ireland,
74,Magnus Wolff Eikrem,Norway,
74,Jalil Elías,Argentina,
74,Martin Erlić,Croatia,
74,Aarón,Spain,
74,Escudero,Spain,
74,Cristian Espinoza,Argentina,
74,Maxime Estève,France,
74,Francisco Conceição,Portugal,
74,Federico Fattori,Argentina,
74,Kiko Femenía,Spain,
74,Leroy Fer,Netherlands,
74,Lewis Ferguson,Scotland,
74,Junior Firpo,Spain,
74,Zian Flemming,Netherlands,
74,Thomas Foket,Belgium,
74,João Talocha,Portugal,
74,Dimitri Foulquier,France,
74,Marco Friedl,Austria,
74,Kanya Fujimoto,Japan,
74,Roberto Gagliardini,Italy,
74,Hernán Galíndez,Ecuador,
74,Raúl García,Spain,
74,Borja García,Spain,
74,Kike García,Spain,
74,Federico Gattoni,Argentina,
74,Georgios Giakoumakis,Greece,
74,Andreas Gianniotis,Greece,
74,Leonardo Gil,Argentina,
74,Óscar Gil,Spain,
74,Ryan Giles,England,
74,Robert Glatzel,Germany,
74,Wilfried Gnonto,Italy,
74,Leonardo Godoy,Argentina,
74,Toti Gomes,Portugal,
74,Gabriel Sara,Brazil,
74,Yeimar Gómez Andrade,Colombia,
74,Sergio Gómez,Spain,
74,Víctor Gómez,Spain,
74,Sergi Gómez,Spain,
74,Maxime Gonalons,France,
74,Mario González,Spain,
74,Craig Gordon,Scotland,
74,Jon Gorenc Stanković,Slovenia,
74,Lukas Görtler,Germany,
74,Max-Alain Gradel,Côte d'Ivoire,
74,Andreaw Gravillon,France,
74,Albert Guðmundsson,Iceland,
74,Ander Guevara,Spain,
74,Angus Gunn,Scotland,
74,Guridi,Spain,
74,Miguel Gutiérrez,Spain,
74,Günay Güvenç,Turkey,
74,Joe Hart,England,
74,Taylor Harwood-Bellis,England,
74,Pantelis Hatzidiakos,Greece,
74,Lukáš Hejda,Czech Republic,
74,Thomas Henry,France,
74,Wesley Hoedt,Netherlands,
74,Lucas Höler,Germany,
74,Mason Holgate,England,
74,Will Hughes,England,
74,Hwang Ui Jo,Korea Republic,
74,Jackson Irvine,Australia,
74,Gustav Isaksen,Denmark,
74,Daniel Iversen,Denmark,
74,Carlos Izquierdoz,Argentina,
74,Armando Izzo,Italy,
74,Ryan Jack,Scotland,
74,Paul Jaeckel,Germany,
74,Lucas Janson,Argentina,
74,Pontus Jansson,Sweden,
74,Moritz Jenz,Germany,
74,Jo Hyeon Woo,Korea Republic,
74,Ben Johnson,England,
74,Jens Jønsson,Denmark,
74,Joo Min Kyu,Korea Republic,
74,Zanka,Denmark,
74,Václav Jurečka,Czech Republic,
74,Kaan Kairinen,Finland,
74,Gaël Kakuta,Congo DR,
74,Hassane Kamara,Côte d'Ivoire,
74,Efecan Karaca,Turkey,
74,Silas,Congo DR,
74,Jonjoe Kenny,England,
74,Wahbi Khazri,Tunisia,
74,Jakub Kiwior,Poland,
74,Klauss,Brazil,
74,Mateusz Klich,Poland,
74,Jan Kopic,Czech Republic,
74,Rominigue Kouamé,Mali,
74,Dimitrios Kourbelis,Greece,
74,Matěj Kovář,Czech Republic,
74,Tom Krauß,Germany,
74,Stanislav Kritsyuk,Russia,
74,Carlos Lampe,Bolivia,
74,Jens Stryger Larsen,Denmark,
74,Jordan Larsson,Sweden,
74,Vincent Le Goff,France,
74,Mathew Leckie,Australia,
74,Daniel Figueira,Portugal,
74,Lekue,Spain,
74,Moisés,Brazil,
74,Karol Linetty,Poland,
74,Tino Livramento,England,
74,Tom Lockyer,Wales,
74,Yury Lodygin,Russia,
74,Lisandro López,Argentina,
74,Unai López,Spain,
74,Jhon Lucumí,Colombia,
74,Andriy Lunin,Ukraine,
74,Sebastiano Luperto,Italy,
74,Ian Maatsen,Netherlands,
74,Kevin Mac Allister,Argentina,
74,Daizen Maeda,Japan,
74,Hörður Magnússon,Iceland,
74,Adam Maher,Netherlands,
74,Tiago Silva,Portugal,
74,Linton Maina,Germany,
74,Patrick Mainka,Germany,
74,Daniel Mancini,Argentina,
74,Aleš Mandous,Czech Republic,
74,Ryan Manning,Republic of Ireland,
74,Benson Manuel,Belgium,
74,Iván Marcone,Argentina,
74,Adrián Marín,Spain,
74,Eric Martel,Germany,
74,Alexis Martín Arias,Argentina,
74,Iván Martín,Spain,
74,José Andrés Martínez,Venezuela,
74,David Martínez,Paraguay,
74,Bruno Martins Indi,Netherlands,
74,Lukáš Masopust,Czech Republic,
74,Neal Maupay,France,
74,Borja Mayoral,Spain,
74,Mark McKenzie,United States,
74,Nico Melamed,Spain,
74,Melero,Spain,
74,Lorenzo Melgarejo,Paraguay,
74,Eugenio Mena,Chile,
74,Fran Mérida,Spain,
74,Bautista Merlini,Argentina,
74,Max Meyer,Germany,
74,Alexander Meyer,Germany,
74,Sebastián Meza,Argentina,
74,Fredrik Midtsjø,Norway,
74,Kevin Mier,Colombia,
74,Georges Mikautadze,Georgia,
74,Takumi Minamino,Japan,
74,Mingueza,Spain,
